original_word,Positive,Neutral,Negative,Mixed
mercifully,0.7186337113380432,0.2496321052312851,0.0206459555774927,0.0110881756991148
16,0.0023614349775016,0.9963597655296326,0.0010053029982373,0.000273495708825
of,0.0372344702482223,0.7420964241027832,0.0325200259685516,0.188149094581604
scenes,0.0122832842171192,0.9792906641960144,0.0051879645325243,0.0032380619086325
than,0.0699279457330703,0.6413390040397644,0.0791585519909858,0.2095745503902435
pop,0.0691678971052169,0.862387478351593,0.0122611345723271,0.0561834126710891
(the,0.0128154521808028,0.8791680335998535,0.0360222235321998,0.0719942897558212
With,0.0426728054881095,0.9432482719421388,0.0107314847409725,0.003347466699779
went,0.0772738829255104,0.6953729391098022,0.1262790411710739,0.1010740995407104
the,0.0384545288980007,0.7094562649726868,0.0278285816311836,0.2242606431245803
changed,0.015263782814145,0.2053539603948593,0.1515894532203674,0.6277927756309509
very,0.3631466925144195,0.4013403058052063,0.080640859901905,0.1548720598220825
camera,0.0117810824885964,0.9857117533683776,0.0019820707384496,0.0005251125548966
time.,0.0308212079107761,0.3891502320766449,0.0249239522963762,0.5551046133041382
was,0.0324776582419872,0.5082291960716248,0.1827246397733688,0.2765684425830841
approach,0.0184683036059141,0.9585576057434082,0.0125154750421643,0.0104586267843842
take,0.0323092117905616,0.780745267868042,0.0454281754791736,0.1415174454450607
a,0.0242142304778099,0.9248152375221252,0.0222156979143619,0.0287548508495092
jungle)!,0.2167242765426635,0.7678504586219788,0.0147222839295864,0.000702952267602
became,0.0556858256459236,0.6775738596916199,0.1253724694252014,0.1413678377866745
or,0.0077632004395127,0.9717240333557128,0.0103414924815297,0.0101711563766002
titillating,0.0158170908689498,0.1449508816003799,0.8259808421134949,0.0132511612027883
"and,",0.0157343856990337,0.9706264734268188,0.011179712601006,0.0024594943970441
Here,0.0122680235654115,0.97984778881073,0.0050611216574907,0.0028231081087142
Karin,0.0033865966834127,0.9961506128311156,0.0004255828971508,3.731569449882954e-05
I,0.020560085773468,0.9499696493148804,0.0112711880356073,0.0181991010904312
bland,0.0021098109427839,0.1784226149320602,0.8097414374351501,0.0097261210903525
and,0.0268723256886005,0.9249991178512572,0.0151777546852827,0.0329507626593112
too,0.053161472082138,0.7877011299133301,0.0540576316416263,0.1050797328352928
/>In,0.0041248183697462,0.993699312210083,0.0020238440483808,0.0001519557408755
Nico,0.0083142397925257,0.990288257598877,0.0012335617793723,0.0001640187692828
film,0.0131347514688968,0.9666789770126344,0.0116869369521737,0.0084993261843919
issues!!,0.0485127046704292,0.0135324299335479,0.8812029361724854,0.0567519403994083
interest:,0.070753239095211,0.8923591375350952,0.0154478857293725,0.0214396957308053
"clothes,",0.0265965461730957,0.9306411147117616,0.0135793490335345,0.0291831027716398
led,0.0131070744246244,0.9770545363426208,0.0093480832874774,0.0004903288790956
write,0.0280258543789386,0.8254833221435547,0.0679855048656463,0.0785052999854087
how,0.0235245339572429,0.7955026626586914,0.0515789985656738,0.1293937712907791
naturally,0.3378332853317261,0.6228266358375549,0.00813689827919,0.0312031209468841
"closest,",0.0263436678797006,0.9621375799179076,0.0114092947915196,0.0001094680774258
it,0.1298125684261322,0.7432711720466614,0.0346353389322757,0.0922809392213821
name,0.0065317628905177,0.9736095070838928,0.0077857337892055,0.0120729627087712
she's,0.0286988988518714,0.9414461255073548,0.0166566763073205,0.013198273256421
works,0.714317798614502,0.0885646641254425,0.0186950080096721,0.1784226149320602
turn,0.0398522317409515,0.925574541091919,0.033614557236433,0.0009586559026502
"""Black",0.0031000163871794,0.9448481798171996,0.0515903271734714,0.0004614922218024
that,0.0394267737865448,0.5629028081893921,0.1001127585768699,0.2975577116012573
descending,0.0158503632992506,0.8199771642684937,0.1315179020166397,0.0326545350253582
an,0.0289110876619815,0.8873400092124939,0.0278520863503217,0.055896807461977
scene,0.0053400676697492,0.9867427349090576,0.0070087006315588,0.0009084445191547
home,0.0137712126597762,0.974811315536499,0.0074752992950379,0.0039421934634447
spelling,0.0104364277794957,0.7063284516334534,0.281870037317276,0.0013650263426825
series,0.0232574418187141,0.9659824371337892,0.004032720811665,0.0067273923195898
to,0.0215832982212305,0.8069890737533569,0.0760837271809578,0.0953438431024551
titular,0.0701710358262062,0.8569551706314087,0.0450447984039783,0.0278289690613746
respect,0.355595052242279,0.1831398904323578,0.0174018032848835,0.4438632428646087
wildlife.,0.0072398548945784,0.9902562499046326,0.0020609414204955,0.0004429871623869
"Emmanuelle,",0.015952356159687,0.9802123308181764,0.0038179552648216,1.7373598893755116e-05
"Incredibly,",0.996857762336731,0.0026201845612376,0.0004829906101804,3.911502062692307e-05
also,0.0604457296431064,0.7697468996047974,0.0324037671089172,0.1374036371707916
into,0.0310881976038217,0.6207141280174255,0.0809708014130592,0.2672269642353058
"likewise,",0.2031473815441131,0.744748055934906,0.03542385622859,0.0166807696223258
sans,0.1932663172483444,0.4848331809043884,0.1354022771120071,0.18649822473526
less,0.2298309952020645,0.4091118574142456,0.1785948127508163,0.1824622601270675
real,0.2289609313011169,0.6529385447502136,0.0205962657928466,0.0975043103098869
watched,0.0428475476801395,0.939159333705902,0.0121049946174025,0.0058881267905235
"nudity,",0.0010582149261608,0.2089881002902984,0.7881588339805603,0.0017948463791981
complete,0.1770947128534317,0.3709831237792969,0.1227407753467559,0.3291813433170318
race,0.0033301669172942,0.9897655248641968,0.0045753153972327,0.0023289765231311
avoid,0.0061513567343354,0.1302506923675537,0.6840240359306335,0.1795738786458969
only,0.0495714731514453,0.6276795864105225,0.0750504955649375,0.2476984560489654
70s,0.0034158017951995,0.996086359024048,0.0004093486932106,8.85220433701761e-05
/><br,0.005260971840471,0.9832381010055542,0.0078986566513776,0.0036022402346134
do,0.0230458788573741,0.910736083984375,0.03003098256886,0.0361870490014553
"total,",0.1150213181972503,0.4448832273483276,0.1806327998638153,0.2594625651836395
lot,0.0854431986808776,0.6744580268859863,0.0427922829985618,0.1973064690828323
<br,0.0147775318473577,0.9649826884269714,0.0079931197687983,0.0122466403990983
Fidenco,0.6748127341270447,0.2829389274120331,0.0390613377094268,0.0031869600061327
her,0.0307345073670148,0.8564743399620056,0.035122200846672,0.0776688307523727
"heroine,",0.0090709784999489,0.9768253564834596,0.0102355331182479,0.0038681081496179
photographer,0.0038187229074537,0.9939595460891724,0.001598805305548,0.000622936815489
African,0.00041041514487,0.9937088489532472,0.0058243069797754,5.642866744892672e-05
which,0.0406940691173076,0.8767989873886108,0.0269739627838134,0.055532980710268
exploitative,0.0008560819551348,0.1008971855044364,0.8962106704711914,0.0020360595081001
"perhaps,",0.006716460455209,0.9563314914703368,0.0352317728102207,0.001720271538943
