original_word,positive,neutral,negative
movie,0.39,0.38,0.23
The,0.15,0.8,0.05
(Brazil):,0.01,0.97,0.02
evacuated,0.04,0.1,0.86
badly,0.0,0.0,1.0
same,0.03,0.93,0.04
first,0.13,0.82,0.05
and,0.15,0.8,0.05
that,0.06,0.92,0.02
remarkably,0.4,0.56,0.04
piece,0.09,0.83,0.08
fact,0.04,0.94,0.02
guarantee,0.14,0.81,0.05
thing,0.07,0.87,0.06
If,0.03,0.95,0.02
"boring,",0.0,0.0,1.0
are,0.08,0.88,0.04
Nothing,0.03,0.25,0.72
"old,",0.1,0.44,0.46
/>Beautiful,1.0,0.0,0.0
long.<br,0.02,0.98,0.0
ever,0.16,0.76,0.08
plot!Primary,0.11,0.86,0.03
screen,0.05,0.89,0.06
does,0.11,0.78,0.11
away,0.08,0.81,0.11
on,0.16,0.79,0.05
part,0.13,0.82,0.05
time?'<br,0.09,0.87,0.04
what.,0.14,0.8,0.06
changed,0.13,0.65,0.22
-,0.08,0.87,0.05
donators,0.13,0.81,0.06
course,0.13,0.82,0.05
lot,0.21,0.66,0.13
"Director,",0.17,0.76,0.07
"see""",0.09,0.85,0.06
class,0.84,0.11,0.05
the,0.15,0.8,0.05
extra,0.18,0.77,0.05
country,0.14,0.82,0.04
type....funny,0.99,0.01,0.0
form.,0.04,0.94,0.02
/>An,0.15,0.81,0.04
no,0.04,0.8,0.16
should,0.11,0.83,0.06
close,0.11,0.86,0.03
"movie,",0.39,0.38,0.23
seeing,0.29,0.65,0.06
"off,",0.05,0.64,0.31
was,0.15,0.74,0.11
male,0.02,0.95,0.03
"""independent""",0.04,0.95,0.01
a,0.3,0.64,0.06
mix,0.04,0.93,0.03
as,0.48,0.46,0.06
sequel.<br,0.02,0.96,0.02
through,0.12,0.84,0.04
of,0.12,0.82,0.06
FORGET,0.18,0.75,0.07
whatsoever.,0.04,0.78,0.18
things,0.16,0.76,0.08
/><br,0.01,0.99,0.0
but,0.04,0.92,0.04
is,0.11,0.84,0.05
after,0.1,0.81,0.09
one,0.06,0.9,0.04
characters,0.17,0.75,0.08
or,0.01,0.98,0.01
Phoenix,0.14,0.82,0.04
with,0.12,0.84,0.04
"acting,",0.2,0.51,0.29
successful,0.82,0.15,0.03
doesn't,0.02,0.16,0.82
needed,0.79,0.15,0.06
all,0.23,0.71,0.06
dramatisation,0.13,0.81,0.06
into,0.09,0.87,0.04
see,0.09,0.85,0.06
specially,0.3,0.66,0.04
whole,0.09,0.83,0.08
who,0.14,0.81,0.05
"is,",0.11,0.84,0.05
"comedy,",0.24,0.68,0.08
keeps,0.5,0.35,0.15
I,0.08,0.89,0.03
plot,0.15,0.8,0.05
got,0.3,0.55,0.15
DVD,0.1,0.86,0.04
made,0.19,0.7,0.11
from,0.09,0.86,0.05
some,0.1,0.85,0.05
achieves,0.92,0.07,0.01
Geena,0.15,0.8,0.05
better,0.96,0.03,0.01
scenes,0.22,0.71,0.07
saw,0.11,0.84,0.05
not,0.04,0.57,0.39
Without,0.11,0.77,0.12
direction.,0.1,0.86,0.04
problems,0.0,0.0,1.0
born,0.12,0.83,0.05
personal,0.27,0.66,0.07
so,0.15,0.68,0.17
selfindulgent,0.13,0.81,0.06
before.,0.09,0.86,0.05
don't,0.03,0.63,0.34
to,0.13,0.73,0.14
definitely,0.24,0.71,0.05
him,0.23,0.68,0.09
have,0.15,0.8,0.05
film.,0.17,0.72,0.11
Christopher,0.13,0.83,0.04
"parts,",0.08,0.87,0.05
Whoever,0.14,0.81,0.05
e.g.,0.17,0.79,0.04
probably,0.05,0.91,0.04
"""wacko""?).",0.06,0.86,0.08
only,0.02,0.93,0.05
version.,0.07,0.87,0.06
sociopath,0.14,0.43,0.43
couple,0.08,0.88,0.04
young,0.22,0.71,0.07
WWII.,0.19,0.78,0.03
now,0.19,0.76,0.05
throughly,0.13,0.81,0.06
seen,0.09,0.84,0.07
friends,0.38,0.57,0.05
lacking,0.0,0.0,1.0
they,0.11,0.85,0.04
improve.,0.66,0.29,0.05
original,0.51,0.44,0.05
could,0.07,0.82,0.11
alone,0.07,0.82,0.11
for,0.22,0.73,0.05
striving,0.89,0.08,0.03
more,0.15,0.78,0.07
An,0.16,0.78,0.06
works,0.84,0.12,0.04
even,0.05,0.87,0.08
Smith),0.12,0.85,0.03
remain,0.09,0.87,0.04
end.,0.1,0.85,0.05
interesting.,0.97,0.02,0.01
you,0.08,0.89,0.03
Rusty,0.01,0.02,0.97
hero,0.96,0.03,0.01
understanding,0.33,0.61,0.06
film,0.17,0.72,0.11
"friends,",0.38,0.57,0.05
It,0.14,0.8,0.06
deserving,0.86,0.1,0.04
often,0.06,0.76,0.18
Also,0.08,0.89,0.03
mindblowing.,0.99,0.01,0.0
academy,0.23,0.72,0.05
an,0.16,0.78,0.06
W.C.,0.07,0.9,0.03
constant,0.18,0.74,0.08
Oscar,0.38,0.58,0.04
across,0.09,0.88,0.03
Detective,0.32,0.62,0.06
seems,0.08,0.85,0.07
..,0.06,0.91,0.03
great,1.0,0.0,0.0
each,0.06,0.92,0.02
episode.,0.23,0.62,0.15
stupid.,0.0,0.0,1.0
art,0.31,0.64,0.05
about,0.04,0.93,0.03
"""2001.""<br",0.01,0.99,0.0
embarrassment,0.0,0.01,0.99
All,0.23,0.71,0.06
curse,0.0,0.0,1.0
husband,0.31,0.61,0.08
old,0.1,0.44,0.46
twice,0.04,0.88,0.08
entire,0.1,0.83,0.07
"spoof,",0.25,0.14,0.61
"rotten,",0.0,0.0,1.0
"""good""",1.0,0.0,0.0
much,0.18,0.7,0.12
movie's,0.11,0.23,0.66
believe,0.1,0.85,0.05
compared,0.06,0.8,0.14
"doubt,",0.01,0.04,0.95
tolerance.,0.13,0.79,0.08
acting.,0.2,0.51,0.29
were,0.1,0.82,0.08
waas,0.43,0.42,0.15
dancing,0.56,0.41,0.03
anyone,0.08,0.88,0.04
those,0.12,0.84,0.04
pick-me-up,0.59,0.39,0.02
elderly,0.12,0.75,0.13
techniques,0.19,0.77,0.04
out,0.07,0.83,0.1
snowy,0.17,0.79,0.04
"Scott,",0.13,0.84,0.03
worth,0.82,0.15,0.03
Brenda,0.12,0.85,0.03
Serbian,0.09,0.81,0.1
this,0.14,0.81,0.05
will,0.24,0.71,0.05
in,0.09,0.87,0.04
entertainment,0.25,0.7,0.05
there,0.09,0.87,0.04
start,0.13,0.8,0.07
Julie,0.11,0.86,0.03
hilarious!,0.99,0.01,0.0
truly,0.3,0.66,0.04
wit,0.64,0.29,0.07
Dark,0.04,0.9,0.06
buy,0.54,0.37,0.09
bad,0.0,0.0,1.0
documentary,0.31,0.62,0.07
"much,",0.18,0.7,0.12
than,0.06,0.75,0.19
sucks.,0.0,0.0,1.0
o.a.p,0.09,0.82,0.09
THAT.,0.06,0.92,0.02
instead,0.04,0.84,0.12
Lars,0.11,0.85,0.04
sexual,0.11,0.77,0.12
do,0.11,0.84,0.05
sloppy,0.0,0.0,1.0
Never,0.05,0.57,0.38
tedious.,0.0,0.0,1.0
Boy,0.21,0.73,0.06
There's,0.02,0.96,0.02
123,0.06,0.92,0.02
script,0.08,0.67,0.25
time,0.16,0.78,0.06
too-clever,0.72,0.0,0.28
nothing,0.03,0.25,0.72
"substance,",0.09,0.85,0.06
role-playing,0.08,0.89,0.03
fast,0.7,0.28,0.02
development,0.15,0.8,0.05
well,0.61,0.34,0.05
capped.,0.08,0.89,0.03
anyone.,0.08,0.88,0.04
around,0.07,0.89,0.04
meet,0.6,0.36,0.04
plot.,0.15,0.8,0.05
black,0.15,0.8,0.05
audience,0.21,0.73,0.06
music,0.51,0.44,0.05
exceptional,0.89,0.1,0.01
making,0.3,0.63,0.07
again,0.27,0.65,0.08
7,0.02,0.97,0.01
performances,0.2,0.74,0.06
think,0.06,0.9,0.04
youth,0.13,0.83,0.04
shall,0.28,0.61,0.11
"sense,they",0.12,0.82,0.06
Detective',0.53,0.39,0.08
back,0.14,0.8,0.06
ready,0.55,0.41,0.04
Sheila,0.09,0.89,0.02
Lion,0.2,0.75,0.05
outstanding,0.99,0.01,0.0
colours,0.3,0.66,0.04
lengths,0.06,0.92,0.02
anyone!,0.08,0.88,0.04
Kermit,0.11,0.87,0.02
watched,0.27,0.63,0.1
China.,0.15,0.8,0.05
story,0.22,0.65,0.13
played,0.26,0.49,0.25
Michael,0.12,0.85,0.03
/>While,0.05,0.93,0.02
'after',0.21,0.6,0.19
transferral,0.13,0.81,0.06
ago,0.11,0.84,0.05
Don`t,0.03,0.63,0.34
10,0.09,0.87,0.04
TBS,0.04,0.94,0.02
star,0.85,0.09,0.06
graphically,0.13,0.81,0.06
new,0.26,0.71,0.03
slow-paced,0.01,0.04,0.95
since,0.09,0.88,0.03
deserve,0.46,0.34,0.2
sloppy.,0.0,0.0,1.0
Jack,0.07,0.91,0.02
minutes.,0.04,0.93,0.03
acting,0.2,0.51,0.29
liked,1.0,0.0,0.0
"seen,",0.09,0.84,0.07
year.<br,0.02,0.98,0.0
redemptive,0.13,0.81,0.06
cheesy,0.0,0.0,1.0
underrated.,0.88,0.04,0.08
I've,0.1,0.88,0.02
great--especially,1.0,0.0,0.0
music.,0.51,0.44,0.05
Robert,0.12,0.85,0.03
-deftly,0.02,0.97,0.01
including,0.12,0.84,0.04
"believable,",0.97,0.02,0.01
reason,0.04,0.87,0.09
A,0.3,0.64,0.06
want,0.2,0.71,0.09
Schindler's,0.12,0.81,0.07
continue?,0.26,0.68,0.06
although,0.05,0.92,0.03
"actress,she",0.39,0.49,0.12
perfectly,1.0,0.0,0.0
be,0.12,0.81,0.07
found,0.12,0.82,0.06
has,0.12,0.84,0.04
interested,0.5,0.45,0.05
offer,0.11,0.86,0.03
by,0.07,0.89,0.04
'battle',0.1,0.14,0.76
"script,",0.08,0.67,0.25
ever.,0.16,0.76,0.08
insiders,0.07,0.9,0.03
importance,0.37,0.58,0.05
"suspenseful,",0.87,0.07,0.06
what,0.14,0.8,0.06
"girl,",0.21,0.72,0.07
hour.,0.04,0.93,0.03
big,0.19,0.74,0.07
Starting,0.12,0.82,0.06
Best,1.0,0.0,0.0
gut,0.14,0.8,0.06
wonderfully,0.99,0.01,0.0
at,0.08,0.89,0.03
admire,1.0,0.0,0.0
